%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
72.0, 12.644601750187576, 15.127895320765674, 3.1265563629567623, -0.3702500956133008, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.636075168924688E9, 0.0, 2021-11-04 20:19:28.924
72.0, 70.18857241841033, -178.5615233844146, 65.22946507716551, -203.353320190683, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.636075168924688E9, 0.0, 2021-11-04 20:19:28.924
0.0, 845.2828382351436, 654.0636234506965, 435.9994067843072, 1166.932933924254, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.636075168952044E9, 0.0, 2021-11-04 20:19:28.952
1.0, 852.3362895515747, 642.5821305867285, 424.1401840248145, 1161.4240612895228, 0.5120000243186951, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360751689654336E9, 0.0, 2021-11-04 20:19:28.965
1.0, 859.460798967164, 652.6686407672241, 442.7050474048592, 1166.7085399269126, 0.5120000243186951, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360751689654336E9, 0.0, 2021-11-04 20:19:28.965
2.0, 865.8074091919698, 649.4785061050206, 454.06312357028946, 1183.7400443251245, 0.5120000243186951, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360751689827805E9, 0.0, 2021-11-04 20:19:28.982
2.0, 851.5583903607912, 641.1385292038321, 407.5499878213741, 1148.8168585388921, 0.5120000243186951, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360751689827805E9, 0.0, 2021-11-04 20:19:28.982
3.0, 856.99994479632, 639.5154126230627, 406.8506265296601, 1166.7721182261594, 0.5120000243186951, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360751689835737E9, 0.0, 2021-11-04 20:19:28.983
3.0, 858.8362356745638, 643.1318958802149, 428.5570058724843, 1184.4655849165283, 0.5120000243186951, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360751689835737E9, 0.0, 2021-11-04 20:19:28.983
4.0, 845.7278863298707, 656.5095180217177, 436.13030328275636, 1164.4272009539418, 0.5120000243186951, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.636075169028132E9, 0.0, 2021-11-04 20:19:29.028
