%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
38.0, 187.8028106689453, 209.13894653320312, 171.71002197265625, -17.824363708496094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560371370516E9, 2020-10-11 17:40:37.137
38.0, 26.089542388916016, 33.89097213745117, 20.105701446533203, 225.69921875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560371370516E9, 2020-10-11 17:40:37.137
0.0, 348.88592529296875, 366.3138427734375, -738.906982421875, -401.3716735839844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560371584575E9, 2020-10-11 17:40:37.158
1.0, 106.51795959472656, 590.1861572265625, -964.1686401367188, -590.9976806640625, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560371717901E9, 2020-10-11 17:40:37.171
1.0, 171.0648956298828, 663.5031127929688, -903.0736694335938, -607.868408203125, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560371717901E9, 2020-10-11 17:40:37.171
2.0, 333.61590576171875, 844.31982421875, -744.8010864257812, -578.51953125, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560371885483E9, 2020-10-11 17:40:37.188
2.0, 140.94747924804688, 644.654052734375, -931.3135986328125, -777.932861328125, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560371885483E9, 2020-10-11 17:40:37.188
3.0, 78.82774353027344, 559.6236572265625, -991.7691040039062, -869.343505859375, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456037189282E9, 2020-10-11 17:40:37.189
3.0, 268.4331970214844, 776.96044921875, -825.586669921875, -1050.3546142578125, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456037189282E9, 2020-10-11 17:40:37.189
4.0, 205.70758056640625, 720.2037353515625, -887.2501220703125, -1129.3731689453125, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372023296E9, 2020-10-11 17:40:37.202
4.0, 5.065694332122803, 496.9466857910156, -1067.509521484375, -1200.5902099609375, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372023296E9, 2020-10-11 17:40:37.202
5.0, 160.93350219726562, 677.0415649414062, -917.2179565429688, -1384.4698486328125, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372173467E9, 2020-10-11 17:40:37.217
5.0, 248.76132202148438, 767.745361328125, -857.5291137695312, -1454.174072265625, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372173467E9, 2020-10-11 17:40:37.217
6.0, 8.884132385253906, 994.5459594726562, -1075.228759765625, -1644.8809814453125, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372180712E9, 2020-10-11 17:40:37.218
6.0, 80.17784881591797, 1065.5853271484375, -1014.0103149414062, -1668.1356201171875, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372180712E9, 2020-10-11 17:40:37.218
7.0, 243.5965118408203, 1246.8546142578125, -863.9580078125, -1633.1170654296875, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372316144E9, 2020-10-11 17:40:37.231
7.0, 51.7920036315918, 1041.6126708984375, -1036.9471435546875, -1824.646728515625, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372316144E9, 2020-10-11 17:40:37.231
8.0, -47.07973098754883, 929.0864868164062, -1139.85791015625, -1953.5797119140625, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372473297E9, 2020-10-11 17:40:37.247
8.0, 159.6993408203125, 1150.391357421875, -959.172119140625, -2119.376953125, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372473297E9, 2020-10-11 17:40:37.247
9.0, 120.34062957763672, 1117.293212890625, -982.6250610351562, -2172.934326171875, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372480807E9, 2020-10-11 17:40:37.248
9.0, -70.6897201538086, 910.7684936523438, -1144.0054931640625, -2237.90185546875, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372480807E9, 2020-10-11 17:40:37.248
10.0, 83.04634857177734, 1076.7901611328125, -1008.2059936523438, -2430.0205078125, 0.0, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372616143E9, 2020-10-11 17:40:37.261
10.0, 172.3252410888672, 1173.76953125, -939.1860961914062, -2492.03173828125, 0.0, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372616143E9, 2020-10-11 17:40:37.261
11.0, 409.15252685546875, 1388.8043212890625, -1175.409423828125, -2687.9931640625, 0.0, 0.01600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456037277337E9, 2020-10-11 17:40:37.277
11.0, 489.4519348144531, 1474.9566650390625, -1101.452880859375, -2712.426025390625, 0.0, 0.01600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456037277337E9, 2020-10-11 17:40:37.277
12.0, 663.6414794921875, 1658.731689453125, -946.7481689453125, -2670.140869140625, 0.0, 0.01600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560372780747E9, 2020-10-11 17:40:37.278
