%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
201.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 123.0, 0.0, 0.0, 0.0, 0.0, 1.6024561536169205E9, 2020-10-11 17:42:33.616
202.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 123.0, 132.0, 0.0, 0.0, 0.0, 1.6024561544565897E9, 2020-10-11 17:42:34.456
203.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 123.0, 132.0, 123.0, 0.0, 0.0, 1.602456155296906E9, 2020-10-11 17:42:35.296
204.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 123.0, 132.0, 123.0, 1207.0, 0.0, 1.6024561561365886E9, 2020-10-11 17:42:36.136
205.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 123.0, 132.0, 123.0, 1207.0, 276.0, 1.602456156976628E9, 2020-10-11 17:42:36.976
201.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 123.0, 132.0, 123.0, 1207.0, 276.0, 1.6024561578165972E9, 2020-10-11 17:42:37.816
202.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 123.0, 123.0, 123.0, 1207.0, 276.0, 1.6024561586566348E9, 2020-10-11 17:42:38.656
203.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 123.0, 123.0, 123.0, 1207.0, 276.0, 1.602456159496685E9, 2020-10-11 17:42:39.496
