%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
2.0, -110.65615844726562, -120.89600372314453, -91.83324432373047, 104.51150512695312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024557706231613E9, 2020-10-11 17:36:10.623
2.0, -32.41371154785156, -41.497928619384766, -32.41371154785156, 84.192626953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024557706231613E9, 2020-10-11 17:36:10.623
3.0, -30.81303596496582, -36.89411163330078, -33.37112808227539, 316.9714660644531, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024557706370935E9, 2020-10-11 17:36:10.637
3.0, -211.99996948242188, -254.80686950683594, -186.7855682373047, 267.7936706542969, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024557706370935E9, 2020-10-11 17:36:10.637
4.0, -99.44767761230469, -120.33502197265625, -93.89392852783203, 219.5040740966797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602455770637771E9, 2020-10-11 17:36:10.637
4.0, -1.0396921634674072, 0.6432628035545349, 1.1070103645324707, 88.10643005371094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602455770637771E9, 2020-10-11 17:36:10.637
5.0, -180.345458984375, -211.14352416992188, -156.6868438720703, 283.3965148925781, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024557706514194E9, 2020-10-11 17:36:10.651
5.0, -158.59793090820312, -184.17137145996094, -133.77996826171875, 416.220947265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024557706514194E9, 2020-10-11 17:36:10.651
6.0, -3.9568140506744385, 0.4749673008918762, -3.0255789756774902, 494.5924072265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024557706670108E9, 2020-10-11 17:36:10.667
6.0, -112.26805877685547, -128.44313049316406, -97.0578842163086, 595.6744384765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024557706670108E9, 2020-10-11 17:36:10.667
7.0, -199.22821044921875, -235.09011840820312, -170.24024963378906, 622.4296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024557706677413E9, 2020-10-11 17:36:10.667
7.0, -31.44133949279785, -38.39381408691406, -26.624347686767578, 578.1118774414062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024557706677413E9, 2020-10-11 17:36:10.667
8.0, -36.400447845458984, -43.274383544921875, -38.07966232299805, 802.1243896484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024557706813326E9, 2020-10-11 17:36:10.681
8.0, -209.12399291992188, -247.0316162109375, -186.15725708007812, 758.4442138671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024557706813326E9, 2020-10-11 17:36:10.681
9.0, -96.82227325439453, -111.86040496826172, -85.13882446289062, 716.8154296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602455770697014E9, 2020-10-11 17:36:10.697
9.0, 4.678614616394043, 19.178207397460938, 5.636029243469238, 586.5958251953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602455770697014E9, 2020-10-11 17:36:10.697
10.0, -181.2355499267578, -210.81442260742188, -162.023681640625, 774.8362426757812, 0.0, 0.0, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024557706977594E9, 2020-10-11 17:36:10.697
