%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, -51.31516647338867, 27.32931900024414, -1061.97265625, -564.8950805664062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024559445333562E9, 2020-10-11 17:39:04.533
1.0, 30.405385971069336, 127.74563598632812, -992.5264282226562, -620.0398559570312, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602455944546749E9, 2020-10-11 17:39:04.546
1.0, -202.81103515625, 344.3811950683594, -1206.8751220703125, -777.0502319335938, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602455944546749E9, 2020-10-11 17:39:04.546
2.0, -140.56788635253906, 421.44183349609375, -1148.958984375, -830.1567993164062, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024559445634532E9, 2020-10-11 17:39:04.563
2.0, 42.54884338378906, 629.3803100585938, -986.0938110351562, -788.877685546875, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024559445634532E9, 2020-10-11 17:39:04.563
3.0, -141.74220275878906, 427.22747802734375, -1142.5450439453125, -946.3928833007812, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602455944564202E9, 2020-10-11 17:39:04.564
3.0, -184.91188049316406, 357.9158935546875, -1196.8895263671875, -1041.240478515625, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602455944564202E9, 2020-10-11 17:39:04.564
4.0, 7.913628101348877, 581.9246826171875, -1017.2584228515625, -1244.1787109375, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024559445766897E9, 2020-10-11 17:39:04.576
4.0, -18.62470245361328, 554.2905883789062, -1044.2119140625, -1268.1832275390625, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024559445766897E9, 2020-10-11 17:39:04.576
5.0, -213.1967315673828, 326.9420471191406, -1222.6051025390625, -1329.392333984375, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024559445923326E9, 2020-10-11 17:39:04.592
5.0, -43.77178955078125, 520.953125, -1061.856689453125, -1536.9193115234375, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024559445923326E9, 2020-10-11 17:39:04.592
6.0, 53.65260314941406, 626.9381103515625, -987.4663696289062, -1592.3970947265625, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024559445929523E9, 2020-10-11 17:39:04.592
6.0, -183.6552734375, 847.2687377929688, -1212.5821533203125, -1753.5811767578125, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024559445929523E9, 2020-10-11 17:39:04.592
