%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, 918.003322923556, 297.0022850311361, -174.0474641378969, 1013.0584901473485, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728088253844E9, 0.0, 2021-11-04 19:40:08.825
1.0, 865.3642310472205, 286.35852975724265, -191.40433983225375, 980.1099715377204, 0.0, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728088388646E9, 0.0, 2021-11-04 19:40:08.838
1.0, 896.8579285740852, 257.71837589656934, -224.71936863753945, 919.4674937562086, 0.0, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728088388646E9, 0.0, 2021-11-04 19:40:08.838
2.0, 796.9652007576078, 202.58103084983304, -250.31150403432548, 867.3706873734482, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728088552687E9, 0.0, 2021-11-04 19:40:08.855
2.0, 801.1576286079362, 228.6780527406372, -209.73358951509, 884.6415453688242, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728088552687E9, 0.0, 2021-11-04 19:40:08.855
3.0, 828.9563049785793, 278.98718694457784, -137.72181586828083, 940.1042617117055, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728088692107E9, 0.0, 2021-11-04 19:40:08.869
3.0, 817.7291253115982, 310.99325076537207, -97.84326264075935, 982.297813011799, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728088692107E9, 0.0, 2021-11-04 19:40:08.869
4.0, 837.3748197788373, 363.06013794848695, -26.336375487968326, 1036.3356274715625, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728088699758E9, 0.0, 2021-11-04 19:40:08.869
4.0, 843.9495639009401, 345.31431265873834, -46.434597849845886, 1002.7438460695557, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728088699758E9, 0.0, 2021-11-04 19:40:08.869
5.0, 785.360291195102, 325.6274792919867, -71.00200065877289, 973.5090481159277, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728089312418E9, 0.0, 2021-11-04 19:40:08.931
5.0, 882.0853237491101, 368.99535917816684, -7.995906105265021, 1015.0929957232438, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728089312418E9, 0.0, 2021-11-04 19:40:08.931
6.0, 891.1171821421012, 416.61176541401073, 48.80943432170898, 1061.8754042689689, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728089319553E9, 0.0, 2021-11-04 19:40:08.931
6.0, 908.993903930299, 415.8039470235817, 57.792674015276134, 1061.1536035775207, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728089319553E9, 0.0, 2021-11-04 19:40:08.931
7.0, 858.1088251331821, 396.913712347392, 51.0982530945912, 1035.8083015778102, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.636072808932761E9, 0.0, 2021-11-04 19:40:08.932
7.0, 914.4504179656506, 466.74512432003394, 121.12413986492902, 1097.5465700463392, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.636072808932761E9, 0.0, 2021-11-04 19:40:08.932
8.0, 873.0347658563405, 433.9948204080574, 97.13268164917827, 1076.3787362971343, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728089335012E9, 0.0, 2021-11-04 19:40:08.933
8.0, 843.504515806213, 383.7904034028761, 41.9093189034611, 1026.6418067864142, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728089335012E9, 0.0, 2021-11-04 19:40:08.933
9.0, 750.8223151043057, 298.47954551363364, -34.18642549496144, 937.6957661402412, -0.04800000227987766, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6360728089619267E9, 0.0, 2021-11-04 19:40:08.961
